Farfetch'd,https://play.pokemonshowdown.com/sprites/bw/farfetchd.png
Doduo,https://play.pokemonshowdown.com/sprites/bw/doduo.png
Dodrio,https://play.pokemonshowdown.com/sprites/bw/dodrio.png
Seel,https://play.pokemonshowdown.com/sprites/bw/seel.png
Dewgong,https://play.pokemonshowdown.com/sprites/bw/dewgong.png
Grimer,https://play.pokemonshowdown.com/sprites/bw/grimer.png
Muk,https://play.pokemonshowdown.com/sprites/bw/muk.png
Shellder,https://play.pokemonshowdown.com/sprites/bw/shellder.png
Cloyster,https://play.pokemonshowdown.com/sprites/bw/cloyster.png
Gastly,https://play.pokemonshowdown.com/sprites/bw/gastly.png
Haunter,https://play.pokemonshowdown.com/sprites/bw/haunter.png
Gengar,https://play.pokemonshowdown.com/sprites/bw/gengar.png
Onix,https://play.pokemonshowdown.com/sprites/bw/onix.png
Drowzee,https://play.pokemonshowdown.com/sprites/bw/drowzee.png
Hypno,https://play.pokemonshowdown.com/sprites/bw/hypno.png
Krabby,https://play.pokemonshowdown.com/sprites/bw/krabby.png
Kingler,https://play.pokemonshowdown.com/sprites/bw/kingler.png
Voltorb,https://play.pokemonshowdown.com/sprites/bw/voltorb.png
Electrode,https://play.pokemonshowdown.com/sprites/bw/electrode.png
Exeggcute,https://play.pokemonshowdown.com/sprites/bw/exeggcute.png
Exeggutor,https://play.pokemonshowdown.com/sprites/bw/exeggutor.png
Cubone,https://play.pokemonshowdown.com/sprites/bw/cubone.png
Marowak,https://play.pokemonshowdown.com/sprites/bw/marowak.png
Hitmonlee,https://play.pokemonshowdown.com/sprites/bw/hitmonlee.png
Hitmonchan,https://play.pokemonshowdown.com/sprites/bw/hitmonchan.png
Lickitung,https://play.pokemonshowdown.com/sprites/bw/lickitung.png
Koffing,https://play.pokemonshowdown.com/sprites/bw/koffing.png
Weezing,https://play.pokemonshowdown.com/sprites/bw/weezing.png
Rhyhorn,https://play.pokemonshowdown.com/sprites/bw/rhyhorn.png
Rhydon,https://play.pokemonshowdown.com/sprites/bw/rhydon.png
Chansey,https://play.pokemonshowdown.com/sprites/bw/chansey.png
Tangela,https://play.pokemonshowdown.com/sprites/bw/tangela.png
Kangaskhan,https://play.pokemonshowdown.com/sprites/bw/kangaskhan.png
Horsea,https://play.pokemonshowdown.com/sprites/bw/horsea.png
Seadra,https://play.pokemonshowdown.com/sprites/bw/seadra.png
Goldeen,https://play.pokemonshowdown.com/sprites/bw/goldeen.png
Seaking,https://play.pokemonshowdown.com/sprites/bw/seaking.png
Staryu,https://play.pokemonshowdown.com/sprites/bw/staryu.png
Starmie,https://play.pokemonshowdown.com/sprites/bw/starmie.png
Mr. Mime,https://play.pokemonshowdown.com/sprites/bw/mrmime.png
Scyther,https://play.pokemonshowdown.com/sprites/bw/scyther.png
Jynx,https://play.pokemonshowdown.com/sprites/bw/jynx.png
Electabuzz,https://play.pokemonshowdown.com/sprites/bw/electabuzz.png
Magmar,https://play.pokemonshowdown.com/sprites/bw/magmar.png
Pinsir,https://play.pokemonshowdown.com/sprites/bw/pinsir.png
Tauros,https://play.pokemonshowdown.com/sprites/bw/tauros.png
Magikarp,https://play.pokemonshowdown.com/sprites/bw/magikarp.png
Gyarados,https://play.pokemonshowdown.com/sprites/bw/gyarados.png
Lapras,https://play.pokemonshowdown.com/sprites/bw/lapras.png
Ditto,https://play.pokemonshowdown.com/sprites/bw/ditto.png
Eevee,https://play.pokemonshowdown.com/sprites/bw/eevee.png
Vaporeon,https://play.pokemonshowdown.com/sprites/bw/vaporeon.png
Jolteon,https://play.pokemonshowdown.com/sprites/bw/jolteon.png
Flareon,https://play.pokemonshowdown.com/sprites/bw/flareon.png
Porygon,https://play.pokemonshowdown.com/sprites/bw/porygon.png
Omanyte,https://play.pokemonshowdown.com/sprites/bw/omanyte.png
Omastar,https://play.pokemonshowdown.com/sprites/bw/omastar.png
Kabuto,https://play.pokemonshowdown.com/sprites/bw/kabuto.png
Kabutops,https://play.pokemonshowdown.com/sprites/bw/kabutops.png
Aerodactyl,https://play.pokemonshowdown.com/sprites/bw/aerodactyl.png
Snorlax,https://play.pokemonshowdown.com/sprites/bw/snorlax.png
Articuno,https://play.pokemonshowdown.com/sprites/bw/articuno.png
Zapdos,https://play.pokemonshowdown.com/sprites/bw/zapdos.png
Moltres,https://play.pokemonshowdown.com/sprites/bw/moltres.png
Dratini,https://play.pokemonshowdown.com/sprites/bw/dratini.png
Dragonair,https://play.pokemonshowdown.com/sprites/bw/dragonair.png
Dragonite,https://play.pokemonshowdown.com/sprites/bw/dragonite.png
Mewtwo,https://play.pokemonshowdown.com/sprites/bw/mewtwo.png
Mew,https://play.pokemonshowdown.com/sprites/bw/mew.png
